cpf,nome,email,idade,cidade,estado,data_ultima_compra,total_gasto,frequencia_compras,forma_pagamento,satisfacao,cliente_ativo
070.534.578-50,José Pereira,monteirocaua@example.com,56,da Mata de Minas,NJ,2024-01-01,1252.43,28,Débito,2,True
324.210.249-51,Luiz Felipe Siqueira,pedro-miguelgarcia@example.org,69,Novais,RS,2024-01-04,6476.55,30,Boleto,5,True
309.232.719-53,Gabriela Nunes,siqueiradavi-lucas@example.net,46,Araújo,SP,2024-01-07,6894.91,29,Débito,3,True
187.053.494-86,Fernando Teixeira,maria-vitoria55@example.net,32,Aparecida de Monteiro,RI,2024-01-11,5139.24,6,Débito,2,True
039.117.182-84,Srta. Lívia Rios,bentolopes@example.net,60,Guerra de Minas,PE,2024-01-14,6984.51,35,Boleto,3,True
424.981.829-26,Gabriel Cardoso,martinsdavi-miguel@example.com,25,Abreu,GO,2024-01-18,4545.4,37,Pix,1,True
074.466.609-02,Srta. Brenda Pires,andradecaroline@example.com,38,Rocha do Galho,GO,2024-01-21,4800.05,24,Pix,2,False
596.292.330-88,Alícia Azevedo,luanda-costa@example.com,56,Araújo,PR,2024-01-25,3962.36,29,Boleto,5,True
472.126.464-07,Alícia Moura,hadassa55@example.com,36,Pastor Verde,RI,2024-01-28,423.69,31,Débito,2,True
251.925.462-90,Sr. Luan Ferreira,pborges@example.org,40,da Luz da Prata,RS,2024-02-01,1149.44,35,Débito,2,True
785.191.088-90,Sr. Theo Campos,ryan12@example.com,28,Aragão de Pacheco,PA,2024-02-04,476.58,33,Pix,2,True
398.454.615-73,Léo Pires,ana-luizacorreia@example.net,28,Sampaio,RI,2024-02-08,5800.41,21,Crédito,2,False
993.867.749-50,Danilo Azevedo,liamrezende@example.net,41,Carvalho das Pedras,NY,2024-02-11,2966.33,32,Crédito,3,False
395.376.724-09,Nicole Fogaça,ufreitas@example.com,70,Brito,RN,2024-02-15,4675.42,23,Crédito,1,False
051.522.047-70,Sophia da Rocha,claramelo@example.org,53,Nogueira de Oliveira,MG,2024-02-18,8186.58,33,Débito,4,True
529.096.561-01,Bruna das Neves,britosophie@example.com,57,Cardoso das Pedras,AL,2024-02-22,2393.77,3,Débito,2,False
475.255.341-44,Dr. Diego Martins,sophia23@example.org,41,Novaes Paulista,MS,2024-02-25,3811.37,18,Pix,5,True
603.859.770-00,Olívia da Conceição,salesalexia@example.org,20,Rocha,RJ,2024-02-28,6848.85,25,Crédito,2,False
815.371.473-23,Luigi da Costa,theo98@example.com,39,Novaes da Mata,SP,2024-03-03,2213.42,31,Pix,5,False
412.126.788-50,João Vitor Macedo,caiofreitas@example.net,70,da Cunha da Serra,MG,2024-03-06,877.42,3,Pix,3,True
578.091.343-96,Davi Lucca Guerra,eduarda43@example.org,19,Macedo dos Dourados,SC,2024-03-10,2749.81,24,Pix,5,False
873.342.708-94,Cauã Siqueira,ana-luizaabreu@example.org,41,Santos,GO,2024-03-13,1618.75,32,Boleto,4,False
337.498.941-16,Dr. Samuel Mendonça,juliacampos@example.com,61,Rezende,PB,2024-03-17,8381.34,22,Crédito,1,False
417.146.774-86,Ana Júlia Freitas,tfreitas@example.net,47,Abreu de Araújo,SE,2024-03-20,7311.46,23,Crédito,5,True
915.478.872-22,Mariah da Paz,joao48@example.com,55,Moura,SP,2024-03-24,5773.95,2,Boleto,5,True
422.579.050-91,Sra. Maria Cecília Melo,almeidaemilly@example.net,19,Almeida Verde,RN,2024-03-27,7868.85,27,Boleto,1,False
277.901.043-65,Bruna Abreu,fernandeshenry@example.com,38,Fogaça do Campo,SC,2024-03-31,7272.31,2,Crédito,4,True
788.957.986-19,Daniel Guerra,juliana79@example.net,50,Melo,GA,2024-04-03,1841.82,26,Boleto,2,True
289.861.434-37,Vitor Gabriel Montenegro,fernando56@example.net,29,Freitas,NJ,2024-04-07,8054.52,17,Pix,5,True
447.394.731-94,Matheus Vasconcelos,livia02@example.net,39,Cardoso do Galho,GA,2024-04-10,4946.21,33,Débito,1,False
745.961.586-22,Theodoro da Mata,raelsales@example.net,61,da Rocha de Sales,RN,2024-04-14,7305.47,9,Pix,3,True
784.473.647-04,Giovanna da Cruz,nascimentoelisa@example.com,42,da Cruz do Norte,MS,2024-04-17,8085.6,39,Crédito,1,False
238.849.696-92,Benjamim Alves,hadassa57@example.com,66,Brito,GO,2024-04-21,2998.43,29,Boleto,3,True
611.836.736-12,Natália Aparecida,britoana@example.com,44,Lima,MT,2024-04-24,1168.46,26,Débito,4,True
765.918.033-94,Apollo Alves,ana-livianunes@example.net,59,Fogaça,AL,2024-04-27,2205.83,35,Crédito,2,False
412.328.120-64,Sr. Kevin Barros,joao-vitorsampaio@example.net,45,da Rocha,PE,2024-05-01,3958.55,25,Boleto,1,False
102.767.735-51,Bernardo Fonseca,qsantos@example.org,33,Aragão,CA,2024-05-04,7398.53,24,Débito,5,True
024.103.865-04,Maria Clara Leão,samuelgomes@example.org,32,Campos,FL,2024-05-08,7774.43,13,Débito,4,False
545.892.975-66,Bernardo Gomes,murilosantos@example.net,64,Rocha de Carvalho,SP,2024-05-11,261.18,7,Boleto,1,False
685.014.294-14,José Pedro Santos,rjesus@example.net,68,Viana Grande,TN,2024-05-15,4694.58,36,Débito,5,True
168.685.487-02,Isabella Siqueira,rpereira@example.org,61,Peixoto,CA,2024-05-18,3873.22,20,Crédito,1,False
586.518.506-38,Heitor Camargo,ojesus@example.com,72,Carvalho,BA,2024-05-22,2154.55,1,Boleto,3,True
794.738.347-21,Maria Flor Pastor,joanapacheco@example.com,69,Vieira da Praia,GA,2024-05-25,1254.82,8,Pix,1,True
356.465.193-49,Miguel Leão,oabreu@example.net,74,Araújo,MS,2024-05-29,3171.01,16,Crédito,1,False
447.132.475-61,Mirella Garcia,vianajosue@example.net,20,Rezende,PA,2024-06-01,8497.61,14,Crédito,1,True
881.914.858-77,Fernando Pinto,xmachado@example.com,54,Moreira,PE,2024-06-05,3044.19,12,Boleto,4,True
999.119.148-87,Liz Ribeiro,daparecida@example.com,68,Ribeiro,PR,2024-06-08,4765.36,23,Boleto,1,True
060.293.333-13,Sra. Amanda Rios,montenegrodavi-miguel@example.com,24,da Rosa,SC,2024-06-12,6386.57,15,Débito,5,False
800.030.756-13,Ana Fonseca,teixeiralunna@example.org,38,Ferreira,TN,2024-06-15,3399.94,28,Crédito,3,False
716.572.628-47,Ana Liz Rodrigues,vieiraeduardo@example.com,26,Garcia,PA,2024-06-19,8751.68,34,Débito,3,True
397.187.072-47,Melina Cassiano,pedro-lucas16@example.com,56,da Rocha de Souza,RS,2024-06-22,8669.54,2,Crédito,1,False
398.262.244-13,Maria Julia Peixoto,aylla15@example.com,35,Pires,MG,2024-06-25,2415.68,32,Crédito,4,True
178.390.847-53,Asafe Macedo,rporto@example.com,21,Sampaio,AM,2024-06-29,4575.79,23,Pix,4,False
350.305.641-60,Bryan da Mota,vianacaue@example.com,42,Pacheco,RS,2024-07-02,2847.73,22,Crédito,5,False
180.170.462-78,Fernanda Vieira,nascimentoluigi@example.com,31,da Costa,MA,2024-07-06,2706.6,25,Débito,1,False
167.243.426-27,Lara Nogueira,ravi06@example.com,67,Garcia,FL,2024-07-09,524.61,22,Débito,3,True
932.480.861-30,Luiz Felipe da Luz,bernardorodrigues@example.net,26,Pastor Verde,MA,2024-07-13,5564.17,22,Pix,4,True
294.131.869-01,Ana Liz Jesus,valentim48@example.net,43,Leão de Aparecida,SE,2024-07-16,4623.58,6,Débito,1,False
665.240.415-00,João da Rosa,hda-cruz@example.net,70,Siqueira,PE,2024-07-20,653.01,15,Boleto,4,False
564.679.970-85,Marcela Ribeiro,machadobrayan@example.net,19,Silveira,CA,2024-07-23,2652.09,37,Pix,4,True
401.399.049-05,José Pedro Lima,tmartins@example.com,37,Cirino,RJ,2024-07-27,8192.74,33,Débito,3,True
331.509.839-59,Clara Rocha,caroline06@example.net,45,Cardoso,RI,2024-07-30,2308.14,8,Débito,2,False
498.776.945-06,Emanuelly Lopes,pimentayasmin@example.org,64,Pastor de Garcia,MT,2024-08-03,1475.07,5,Boleto,5,True
375.265.479-16,Melissa Aragão,milena86@example.com,24,Andrade,RN,2024-08-06,4507.18,39,Pix,5,False
179.327.104-64,Hellena Lima,amanda78@example.org,61,Siqueira,RS,2024-08-10,8873.72,4,Boleto,3,True
027.588.425-21,Eloá Pinto,ovieira@example.org,25,Cassiano,OH,2024-08-13,2330.09,6,Pix,4,False
773.872.148-08,Léo Souza,almeidabrayan@example.net,64,da Luz,AM,2024-08-17,6114.79,32,Pix,1,False
853.747.411-87,Erick Andrade,pietra15@example.net,52,Porto,MG,2024-08-20,6902.25,30,Crédito,4,True
156.676.527-73,Benício da Cruz,mendestheo@example.com,31,Pimenta Alegre,RN,2024-08-23,2291.21,35,Débito,3,True
