id_compra,cpf_cliente,data_compra,canal_venda,produto,categoria,quantidade,preco_unitario,desconto_percentual,frete,subtotal,total,forma_pagamento,parcelas,status_pedido,estado_entrega,avaliacao,cupom_usado
CF3026E0,070.534.578-50,2024-12-22,Televendas,Bola de Futebol,Esportes,1,2599.3,0.07,0.0,2599.3,2417.35,Crédito,1,Entregue,SP,1.0,True
36389828,324.210.249-51,2026-01-04,Loja Física,Vestido,Roupas,5,107.48,0.06,24.52,537.4,529.68,Pix,1,Entregue,SP,2.0,False
3BC9B5A9,309.232.719-53,2026-05-09,Loja Física,Tapete,Casa,2,765.37,0.23,0.0,1530.74,1178.67,Crédito,6,Em trânsito,CE,,False
44FA1B14,187.053.494-86,2026-03-27,App,Carregador Portátil,Eletrônicos,4,1883.75,0.29,24.84,7535.0,5374.69,Boleto,1,Devolvido,DF,,True
941174A9,039.117.182-84,2025-08-27,Televendas,Carregador Portátil,Eletrônicos,2,2709.14,0.3,38.99,5418.28,3831.79,Boleto,1,Em trânsito,AM,,False
955F9462,424.981.829-26,2024-09-16,App,Tênis,Roupas,3,745.13,0.08,29.16,2235.39,2085.72,Débito,1,Processando,MG,,False
976C2759,074.466.609-02,2025-04-28,Loja Física,Azeite,Alimentos,5,780.36,0.1,2.52,3901.8,3514.14,Crédito,7,Devolvido,PR,,True
7CC6495C,596.292.330-88,2026-02-10,App,Vestido,Roupas,3,756.0,0.15,28.93,2268.0,1956.73,Boleto,1,Entregue,RS,5.0,False
BA8BEB6B,472.126.464-07,2025-02-27,Site,Garrafa Térmica,Esportes,4,3143.91,0.12,0.0,12575.64,11066.56,Pix,1,Entregue,SP,1.0,True
B70B2207,251.925.462-90,2025-03-20,Site,Raquete,Esportes,4,2093.49,0.12,21.06,8373.96,7390.14,Crédito,11,Entregue,PE,3.0,False
42E5F391,785.191.088-90,2026-01-12,Site,Tablet,Eletrônicos,4,566.18,0.0,32.39,2264.72,2297.11,Débito,1,Processando,AM,,False
C08D4FE6,398.454.615-73,2024-08-14,Loja Física,Garrafa Térmica,Esportes,5,708.21,0.11,0.0,3541.05,3151.53,Crédito,8,Devolvido,SP,,True
FA12C054,993.867.749-50,2025-04-26,App,Tapete,Casa,2,216.87,0.26,3.85,433.74,324.82,Crédito,3,Em trânsito,AM,,False
B27FA9E4,395.376.724-09,2026-05-05,Loja Física,Creme Hidratante,Beleza,3,1853.94,0.18,41.8,5561.82,4602.49,Débito,1,Devolvido,SC,,False
3663922D,051.522.047-70,2025-03-07,Site,Chá Especial,Alimentos,4,436.7,0.07,26.47,1746.8,1650.99,Débito,1,Entregue,RJ,1.0,True
0A1C38B5,529.096.561-01,2026-04-02,App,Smartphone,Eletrônicos,3,261.94,0.07,9.64,785.82,740.45,Pix,1,Entregue,GO,4.0,True
964692AB,475.255.341-44,2025-11-10,Site,Smartphone,Eletrônicos,4,1249.73,0.12,2.44,4998.92,4401.49,Crédito,7,Cancelado,DF,,False
32982D2A,603.859.770-00,2026-05-03,Televendas,Notebook,Eletrônicos,2,677.88,0.13,12.53,1355.76,1192.04,Crédito,9,Entregue,RJ,1.0,True
574BB8F2,815.371.473-23,2025-06-27,Site,Notebook,Eletrônicos,2,1431.35,0.14,40.61,2862.7,2502.53,Pix,1,Entregue,SC,3.0,False
C39F64F5,412.126.788-50,2025-11-22,Site,Almofada,Casa,5,2321.62,0.15,0.0,11608.1,9866.89,Crédito,12,Entregue,BA,1.0,True
02ECC2B2,578.091.343-96,2024-07-09,App,Sérum Facial,Beleza,5,3219.06,0.16,0.0,16095.3,13520.05,Crédito,2,Processando,CE,,True
A8E3B274,873.342.708-94,2025-10-08,Site,Raquete,Esportes,4,432.8,0.27,0.0,1731.2,1263.78,Crédito,7,Processando,AM,,False
3904E9D9,337.498.941-16,2025-07-01,Site,Luminária,Casa,3,846.82,0.12,13.5,2540.46,2249.1,Crédito,8,Entregue,CE,5.0,True
5F00C60E,417.146.774-86,2024-12-27,Loja Física,Smartwatch,Eletrônicos,2,1778.01,0.04,3.1,3556.02,3416.88,Boleto,1,Entregue,MG,4.0,False
16E8E3CD,915.478.872-22,2025-04-10,Site,Protetor Solar,Beleza,1,2342.5,0.17,4.66,2342.5,1948.93,Boleto,1,Entregue,RJ,5.0,True
19954C9D,422.579.050-91,2026-02-05,Loja Física,Tapete,Casa,5,749.04,0.1,38.38,3745.2,3409.06,Pix,1,Processando,SP,,True
05DAEDD8,277.901.043-65,2025-12-13,Televendas,Yoga Mat,Esportes,3,168.64,0.1,0.0,505.92,455.33,Débito,1,Entregue,PE,4.0,True
CB369684,788.957.986-19,2025-07-31,Loja Física,Smartphone,Eletrônicos,2,1916.38,0.25,6.66,3832.76,2881.23,Crédito,6,Entregue,SP,3.0,True
F079040A,289.861.434-37,2024-12-29,App,Raquete,Esportes,1,1247.57,0.17,43.82,1247.57,1079.3,Débito,1,Cancelado,MG,,True
512F3F71,447.394.731-94,2024-07-17,Loja Física,Café Premium,Alimentos,2,2581.93,0.1,36.1,5163.86,4683.57,Débito,1,Devolvido,MG,,True
6CA5EC47,745.961.586-22,2025-02-18,App,Café Premium,Alimentos,4,790.18,0.24,13.73,3160.72,2415.88,Débito,1,Devolvido,SP,,True
5684CFFC,784.473.647-04,2025-07-14,Loja Física,Azeite,Alimentos,3,3027.27,0.29,0.0,9081.81,6448.09,Pix,1,Cancelado,SP,,True
43179A6F,238.849.696-92,2025-12-07,Loja Física,Luminária,Casa,5,3369.43,0.08,0.0,16847.15,15499.38,Boleto,1,Em trânsito,SC,,True
9B948B29,611.836.736-12,2025-12-02,Loja Física,Chá Especial,Alimentos,2,902.71,0.21,0.0,1805.42,1426.28,Débito,1,Devolvido,SC,,True
7D39396B,765.918.033-94,2024-06-23,Loja Física,Luva de Box,Esportes,5,1109.0,0.25,13.51,5545.0,4172.26,Pix,1,Entregue,SC,3.0,True
6727AB4D,412.328.120-64,2026-03-22,Loja Física,Jaqueta,Roupas,4,2375.45,0.27,13.54,9501.8,6949.85,Crédito,5,Processando,RS,,False
E527DF88,102.767.735-51,2025-11-21,Site,Protetor Solar,Beleza,3,1635.48,0.13,0.0,4906.44,4268.6,Débito,1,Em trânsito,PR,,False
69651993,024.103.865-04,2025-07-31,Site,Notebook,Eletrônicos,3,797.87,0.06,0.0,2393.61,2249.99,Pix,1,Entregue,GO,4.0,True
CD22735D,545.892.975-66,2025-09-07,Televendas,Yoga Mat,Esportes,4,1407.79,0.04,40.17,5631.16,5446.08,Crédito,4,Devolvido,MG,,False
0940DD69,685.014.294-14,2025-08-07,Televendas,Smartwatch,Eletrônicos,2,3212.38,0.04,0.0,6424.76,6167.77,Boleto,1,Em trânsito,CE,,False
86715C27,168.685.487-02,2025-05-06,Televendas,Sérum Facial,Beleza,2,2606.64,0.14,0.0,5213.28,4483.42,Boleto,1,Entregue,AM,2.0,False
68C5D602,586.518.506-38,2026-03-28,Televendas,Café Premium,Alimentos,3,832.21,0.1,3.63,2496.63,2250.6,Débito,1,Entregue,DF,2.0,True
81212606,794.738.347-21,2024-08-16,Televendas,Fone de Ouvido,Eletrônicos,4,1168.12,0.14,0.0,4672.48,4018.33,Pix,1,Devolvido,CE,,True
E648FA0D,356.465.193-49,2025-07-10,App,Sérum Facial,Beleza,4,35.55,0.11,38.41,142.2,164.97,Pix,1,Devolvido,GO,,True
8EF835CC,447.132.475-61,2025-11-02,App,Almofada,Casa,4,116.15,0.1,18.19,464.6,436.33,Pix,1,Entregue,CE,5.0,True
073291D5,881.914.858-77,2025-06-23,Loja Física,Chá Especial,Alimentos,5,2325.55,0.03,39.01,11627.75,11317.93,Crédito,7,Entregue,BA,2.0,False
FCAA7031,999.119.148-87,2025-01-20,Site,Tapete,Casa,4,984.72,0.29,37.57,3938.88,2834.17,Crédito,6,Em trânsito,RS,,True
C029CD74,060.293.333-13,2025-02-15,App,Bola de Futebol,Esportes,1,3324.4,0.06,0.0,3324.4,3124.94,Débito,1,Entregue,GO,1.0,True
832C4A17,800.030.756-13,2025-01-05,Loja Física,Azeite,Alimentos,3,599.75,0.18,5.15,1799.25,1480.54,Débito,1,Devolvido,RJ,,True
A263CBDF,716.572.628-47,2025-07-23,Site,Organizador,Casa,4,1397.34,0.21,0.0,5589.36,4415.59,Débito,1,Cancelado,DF,,False
524D4E7C,397.187.072-47,2025-06-27,Loja Física,Garrafa Térmica,Esportes,1,2789.85,0.17,0.0,2789.85,2315.58,Pix,1,Processando,RJ,,False
8EA90DB5,398.262.244-13,2024-09-22,Televendas,Fone de Ouvido,Eletrônicos,4,382.8,0.29,37.29,1531.2,1124.44,Débito,1,Cancelado,MG,,False
FAD75CD2,178.390.847-53,2025-02-15,Loja Física,Protetor Solar,Beleza,4,1635.09,0.25,14.5,6540.36,4919.77,Crédito,8,Entregue,RS,4.0,False
89338AB8,350.305.641-60,2024-09-21,Loja Física,Panela,Casa,4,2980.57,0.05,0.0,11922.28,11326.17,Boleto,1,Devolvido,PR,,False
DB86A997,180.170.462-78,2025-02-01,Televendas,Perfume,Beleza,5,3319.0,0.03,21.99,16595.0,16119.14,Débito,1,Devolvido,AM,,False
C4EC722B,167.243.426-27,2025-02-14,Televendas,Café Premium,Alimentos,1,1040.41,0.12,0.0,1040.41,915.56,Boleto,1,Cancelado,PE,,False
20985AA5,932.480.861-30,2026-04-06,Loja Física,Chá Especial,Alimentos,3,1241.06,0.14,10.37,3723.18,3212.3,Débito,1,Cancelado,RJ,,True
5B46C333,294.131.869-01,2024-07-10,Loja Física,Calça Jeans,Roupas,4,978.6,0.18,26.86,3914.4,3236.67,Débito,1,Entregue,RS,3.0,True
66EFDC63,665.240.415-00,2025-10-02,Televendas,Panela,Casa,5,456.14,0.01,0.0,2280.7,2257.89,Débito,1,Entregue,RJ,1.0,False
757E0DF5,564.679.970-85,2025-04-08,Site,Vinho,Alimentos,4,1202.36,0.29,0.0,4809.44,3414.7,Pix,1,Devolvido,RJ,,False
7A995FBE,401.399.049-05,2025-09-04,Site,Café Premium,Alimentos,5,2208.62,0.02,0.0,11043.1,10822.24,Boleto,1,Processando,RS,,True
36EDCF64,331.509.839-59,2024-06-24,Televendas,Sérum Facial,Beleza,5,2092.5,0.19,17.12,10462.5,8491.75,Boleto,1,Em trânsito,PR,,True
64694856,498.776.945-06,2026-03-20,Site,Perfume,Beleza,2,2194.92,0.08,0.0,4389.84,4038.65,Débito,1,Entregue,MG,1.0,False
C844D394,375.265.479-16,2024-12-19,App,Chá Especial,Alimentos,4,1030.04,0.07,31.63,4120.16,3863.38,Crédito,5,Em trânsito,AM,,True
